run_id,start_time,end_time,status,source,records_read,records_written,duplicates_removed,watermark_before,watermark_after,error_message
d5139ff7-bb64-48bc-b625-d512f5930c49,2026-09-12T11:59:30.979638+00:00,2026-09-12T11:59:33.004933+00:00,FAILED,REST API,0,0,0,,,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=50 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
a1a8cff2-774e-49bd-8f2b-c11c3d3206a9,2026-09-12T12:00:03.071289+00:00,2026-09-12T12:00:05.102421+00:00,FAILED,REST API,0,0,0,,,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=50 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
7a057dba-a3c2-4b0b-a091-feaa09a357c3,2026-09-12T12:04:09.247503+00:00,2026-09-12T12:04:09.344353+00:00,SUCCESS,REST API,122,120,2,,2026-08-21T10:00:00,
6355e310-610d-4303-9340-309af649e1f6,2026-09-12T12:41:32.684973+00:00,2026-09-12T12:41:32.761397+00:00,SUCCESS,REST API,122,120,2,,2026-08-21T10:00:00,
24af7c11-2b6d-4f89-92be-ad81ad040713,2026-09-12T12:44:08.876929+00:00,2026-09-12T12:44:10.898371+00:00,FAILED,REST API,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=50&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
49542f5f-5609-449c-843f-506bd05d6338,2026-09-12T12:45:33.826607+00:00,2026-09-12T12:45:33.838043+00:00,SUCCESS,REST API,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
